
58,58,0,[-1;79;-1;128],[-1;86;-1;128],[149;-1;-1;-1],[-1;1143;-1;1143],RIGHT,[NEUTRAL;LEFT;NEUTRAL;LEFT],[0;83;0;83],[27;0;28;0],2350,2,60,,58,DOWN,,58,0
59,59,0,[-1;68;-1;122],[-1;68;-1;122],[137;-1;-1;-1],[-1;1143;-1;1143],RIGHT,[NEUTRAL;LEFT;NEUTRAL;LEFT],[0;71;0;71],[15;0;16;0],2350,2,60,,59,RIGHT,,59,0
60,60,0,[-1;56;-1;116],[-1;56;-1;116],[125;-1;-1;-1],[-1;1143;-1;1143],RIGHT,[NEUTRAL;DOWN;NEUTRAL;LEFT],[0;59;0;59],[3;0;4;0],2350,2,60,,60,UP,,60,0
61,61,0,[69;94;34;154],[69;94;34;154],[137;-1;-1;-1],[1143;1143;1143;1143],DOWN,[UP;DOWN;UP;LEFT],[0;7;0;7],[0;0;0;0],2350,2,60,,61,RIGHT,,61,10
62,62,0,[69;91;10;151],[72;91;10;151],[125;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[RIGHT;DOWN;UP;DOWN],[0;0;0;0],[0;0;0;0],2350,2,60,,62,DOWN,,62,10
63,63,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[136;-1;-1;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[35;55;75;95],2360,1,59,,63,UP,,63,0
64,64,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[124;-1;-1;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[23;43;63;83],2360,1,59,,64,UP,,64,0
65,65,0,[82;65;-1;-1],[82;65;-1;-1],[149;-1;-1;-1],[1143;1143;-1;-1],DOWN,[LEFT;LEFT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;3;23],2360,1,59,,65,RIGHT,,65,0
66,66,0,[58;65;49;-1],[58;87;49;-1],[137;-1;-1;-1],[1143;1143;1143;-1],RIGHT,[UP;UP;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;11],2360,1,59,,66,LEFT,,66,0
67,67,0,[48;65;49;69],[48;100;49;69],[125;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[UP;RIGHT;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],2360,1,59,,67,LEFT,,67,0
68,68,0,[90;70;71;29],[90;70;71;29],[137;-1;-1;-1],[1143;1143;1143;1143],DOWN,[LEFT;LEFT;DOWN;UP],[0;0;0;0],[0;0;0;0],2360,1,59,,68,UP,,68,0
69,69,0,[69;62;95;75],[69;62;95;75],[133;-1;-1;-1],[1143;1143;1143;1143],LEFT,[RIGHT;LEFT;DOWN;UP],[0;0;0;0],[0;0;0;0],2360,1,59,,69,RIGHT,,69,0
70,70,0,[45;38;151;62],[45;38;151;62],[148;-1;-1;-1],[1143;1143;1143;1143],UP,[RIGHT;UP;LEFT;UP],[0;0;0;0],[0;0;0;0],2360,1,59,,70,UP,,70,0
71,71,0,[45;34;137;74],[93;34;137;98],[149;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[RIGHT;UP;LEFT;RIGHT],[0;0;0;0],[0;0;0;0],2360,1,59,,71,UP,,71,0
72,72,0,[51;62;159;42],[51;62;159;42],[124;-1;-1;-1],[1143;1143;1143;1143],DOWN,[UP;LEFT;UP;RIGHT],[0;0;0;0],[0;0;0;0],2360,1,59,,72,UP,,72,0
73,73,0,[51;38;137;42],[51;38;137;74],[136;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[RIGHT;LEFT;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],2360,1,59,,73,UP,,73,0
74,74,0,[51;14;137;42],[51;14;137;90],[148;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[RIGHT;UP;UP;DOWN],[0;0;0;0],[0;0;0;0],2360,1,59,,74,RIGHT,,74,0
75,75,0,[37;14;137;54],[37;66;137;78],[149;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[DOWN;UP;LEFT;DOWN],[0;0;0;0],[0;0;0;0],2360,1,59,,75,RIGHT,,75,0
76,76,0,[13;14;113;74],[13;66;113;98],[137;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[LEFT;RIGHT;UP;RIGHT],[0;0;0;0],[0;0;0;0],2360,1,59,,76,RIGHT,,76,0
77,77,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[92;56;133;108],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[27;47;67;87],40,3,216,,77,RIGHT,,77,100
78,78,0,[57;-1;-1;-1],[81;-1;-1;-1],[85;28;137;112],[102;-1;-1;-1],UP,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;19;39;59],110,3,209,,78,LEFT,,78,180
79,79,0,[57;-1;-1;-1],[57;-1;-1;-1],[76;40;149;124],[102;-1;-1;-1],LEFT,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;7;27;47],140,3,206,,79,UP,,79,180
80,80,0,[94;99;79;57],[94;99;79;57],[40;76;124;149],[1148;1148;102;97],DOWN,[RIGHT;DOWN;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],290,3,191,,80,LEFT,,80,60
81,81,0,[70;90;68;47],[70;90;68;47],[28;85;112;137],[1143;1148;102;97],LEFT,[RIGHT;RIGHT;DOWN;DOWN],[0;0;0;0],[0;0;0;0],320,3,188,,81,LEFT,,81,190
82,82,0,[58;66;68;71],[58;66;68;71],[16;73;100;125],[1143;1148;1148;97],LEFT,[RIGHT;RIGHT;DOWN;DOWN],[0;0;0;0],[0;0;0;0],350,3,185,,82,LEFT,,82,230
